index,Category,Name,Need Resistance,Drop Item,Probability,Acquire Likability,Information
0,학교,학교 정문,70,4007 4008 4009,80 50 30,10,글월고등학교로 통하는 정문. 평일에도 주말에도 항상 열려있다.
3,학교,교실,,,,,학생들이 하루를 보내는 곳. 학년이 올라가도 교실 층수만 바뀔 뿐 그대로다.
4,학교,체육관,,,,,강당을 겸하는 용도로 지어져 커다란 체육관. 농땡이를 피우기 좋은 장소다. 
5,학교,운동장,,,,,잔디 하나 없는 황무지 운동장. 바람 부는 날에 일어나는 모래폭풍이 장관이다.
6,백화점,카페,,,,,작고 고즈넉한 카페. 점장은 에스프레소를 추천하지만 모두 아메리카노만 마신다.
7,백화점,옥상,,,,,백화점 옥상에 위치한 테라스. 겨울에 올라오기엔 추워서 사람이 없다. 
8,백화점,식당,,,,,백화점 안에 자리잡은 체인점. 음식이 특별하진 않지만 맛없지는 않다. 
9,백화점,팝업스토어,,,,,주기마다 내용이 바뀌는 깜짝가게. 정말 의외의 상품을 팔 때도 있다. 
10,공원,은행 나무 거리,,,,,가을엔 화려한 노랑색으로 물들었던 가로수길. 지금은 나뭇가지만 앙상하다. 
11,공원,호수 공원,,,,,물고기들이 살고 있는 호수. 앉아서 호수를 볼 수 있게 벤치가 곳곳에 놓여있다. 
12,공원,공중 화장실,,,,,목이 마른 사람들을 위한 음수대. 겨울이라 엄청난 냉수가 흘러나온다.  
13,공원,숲 지역,,,,,낙엽이 바닥에 쌓여있는 숲길. 밤이 되면 어두워져서 꽤 무서워진다. 
